Search_Term,Word,n=1,n=3,n=5,n=10,n=15,n=20,n=25,n-50,wordOccurrence
design,also,0,7,6,1,3,2,2,1,1734
design,,0,7,5,5,8,11,6,7,3818
design,data,0,7,0,5,3,2,4,4,2062
design,interface,0,6,6,3,4,4,6,2,1661
design,were,0,6,2,7,4,1,4,0,2078
design,et,0,6,1,2,1,3,2,1,769
design,building,0,6,0,0,0,0,1,1,213
design,not,0,5,6,2,3,5,3,2,2613
design,different,0,5,3,2,4,1,3,2,1741
design,provide,0,5,0,2,2,2,2,1,659
design,({nsdi},0,5,0,0,0,0,0,0,5
design,used,0,4,5,1,2,6,4,6,1787
design,support,0,4,3,4,2,4,2,3,636
design,2,0,4,3,4,2,1,1,3,1200
design,evaluation,0,4,2,1,2,0,2,0,476
design,address,0,4,2,0,1,0,0,0,167
design,dynamic,0,4,1,1,2,2,2,1,331
design,vr,0,4,1,1,0,2,3,0,651
design,programming,0,4,1,0,1,0,0,3,545
design,scaffoldsketch,0,4,1,0,0,0,1,1,40
design,proc,0,4,0,0,0,1,1,2,226
design,rapid,0,4,0,0,0,0,1,1,101
design,open,0,4,0,0,0,0,0,0,252
design,device,0,3,7,3,0,1,0,3,977
design,mobile,0,3,3,1,2,1,2,1,643
design,1,0,3,2,5,6,3,1,1,1289
design,understand,0,3,2,1,2,2,1,0,298
design,experiment,0,3,2,1,1,0,0,2,408
design,flexible,0,3,1,2,1,0,0,0,195
design,experimental,0,3,1,2,0,0,0,1,159
design,shows,0,3,1,1,0,2,0,2,685
design,graph,0,3,1,1,0,0,0,0,261
design,create,0,3,1,0,1,3,2,2,602
design,allow,0,3,1,0,1,0,0,3,345
design,cutting,0,3,0,3,0,0,0,1,144
design,implemented,0,3,0,2,0,0,0,0,245
design,three,0,3,0,1,1,0,2,0,791
design,hapticians,0,3,0,1,1,0,0,0,24
design,gesture,0,3,0,1,0,3,1,3,615
