Search_Term,Word,n=1,n=3,n=5,n=10,n=15,n=20,n=25,n-50,wordOccurrence,,,,,,,,
design,rationale,5,0,1,1,0,0,3,2,46,,,,,,,,
design,strategist,5,0,1,0,1,1,0,0,7,,,,,,,,
design,version,5,0,1,0,1,0,1,0,84,,,,,,,,
design,1(1),5,0,1,0,0,2,2,1,36,,,,,,,,
design,iteration,5,0,0,0,0,2,1,1,46,,,,,,,,
design,scheme,5,0,0,0,0,0,1,0,33,,,,,,,,
design,1953-1968,5,0,0,0,0,0,0,1,10,,,,,,,,
design,fits,5,0,0,0,0,0,0,0,19,,,,,,,,
design,product,4,30,15,16,17,19,29,20,1002,,,,,,,,
design,retrieved,4,22,11,7,9,18,10,14,429,,,,,,,,
design,systems,4,19,15,7,21,12,10,8,700,,,,,,,,
design,information,4,16,6,6,9,7,7,9,800,,,,,,,,
design,creative,4,16,4,8,12,7,9,10,511,,,,,,,,
design,exploring,4,15,2,5,4,6,7,6,238,,,,,,,,
design,policy,4,14,10,10,6,10,3,6,293,,,,,,,,
design,i,4,12,7,7,6,8,11,11,961,,,,,,,,
design,analysis,4,10,11,10,13,10,13,14,821,,,,,,,,
design,graphic,4,8,11,19,17,13,23,17,529,,,,,,,,
design,further,4,7,9,6,7,5,1,4,509,,,,,,,,
design,cultural,4,7,6,3,5,4,6,4,382,,,,,,,,
design,therefore,4,7,2,1,1,3,3,0,329,,,,,,,,
design,architecture,4,6,5,3,2,4,3,3,124,,,,,,,,
design,criteria,4,6,1,0,2,2,1,0,106,,,,,,,,
design,impact,4,5,16,7,10,8,5,7,437,,,,,,,,
design,language,4,5,8,3,3,1,6,5,279,,,,,,,,
design,focuses,4,5,6,3,4,2,5,4,158,,,,,,,,
design,strategic,4,5,3,2,6,4,3,7,234,,,,,,,,
design,packaging,4,4,4,2,6,4,3,3,174,,,,,,,,
design,provides,4,4,3,4,6,3,5,4,225,,,,,,,,
design,evaluation,4,4,2,4,3,3,5,4,183,,,,,,,,
design,must,4,4,2,3,4,2,2,5,238,,,,,,,,
design,goals,4,4,1,7,2,6,5,5,255,,,,,,,,
design,frameworks,4,4,0,1,4,3,2,3,101,,,,,,,,
design,conventions,4,4,0,0,0,0,0,0,25,,,,,,,,
design,rather,4,3,6,2,4,3,2,2,394,,,,,,,,
design,goal,4,3,2,1,5,0,3,1,198,,,,,,,,
design,aid,4,3,1,1,0,2,1,2,66,,,,,,,,
design,firm,4,2,5,2,0,2,2,5,61,,,,,,,,
design,games,4,2,4,4,3,1,4,1,271,,,,,,,,
design,question,4,2,4,1,3,2,1,2,193,,,,,,,,
design,interior,4,2,4,1,2,0,1,1,78,,,,,,,,
design,2018,4,2,3,6,2,0,7,2,310,,,,,,,,
design,doing,4,2,3,3,2,1,2,2,172,,,,,,,,
design,x,4,2,3,2,5,2,7,0,218,,,,,,,,
design,lens,4,2,3,1,1,1,0,3,90,,,,,,,,
design,becomes,4,2,2,2,0,0,1,0,98,,,,,,,,
design,who,4,2,1,8,6,11,9,9,677,,,,,,,,
design,move,4,2,1,1,1,0,2,3,112,,,,,,,,
design,courses,4,2,1,1,0,1,3,2,78,,,,,,,,
design,students�,4,2,0,3,2,1,1,3,150,,,,,,,,
design,ethnographic,4,2,0,2,3,1,0,0,54,,,,,,,,
design,had,4,1,7,6,5,6,4,8,590,,,,,,,,
design,background,4,1,3,3,0,4,3,0,140,,,,,,,,
design,narratives,4,1,3,2,1,3,2,0,159,,,,,,,,
design,resource,4,1,3,0,1,5,2,1,73,,,,,,,,
design,although,4,1,2,0,3,2,1,3,186,,,,,,,,
design,supports,4,1,1,2,0,0,2,2,100,,,,,,,,
design,cases,4,1,1,1,3,0,1,3,140,,,,,,,,
design,experiment,4,1,1,0,2,1,1,1,89,,,,,,,,
design,movement,4,1,0,2,1,0,2,2,136,,,,,,,,
design,activism,4,1,0,2,1,0,0,1,22,,,,,,,,
design,illustration,4,1,0,1,2,1,1,2,76,,,,,,,,
design,experiments,4,1,0,1,0,1,0,1,74,,,,,,,,
design,historian,4,1,0,0,1,1,0,1,5,,,,,,,,
design,engineers,4,1,0,0,0,1,2,1,26,,,,,,,,
design,practice�,4,1,0,0,0,0,0,0,17,,,,,,,,
design,boundaries,4,0,3,1,2,1,0,2,77,,,,,,,,
design,domain,4,0,2,0,3,1,2,2,104,,,,,,,,
design,ecology,4,0,2,0,1,0,2,1,54,,,,,,,,
design,week,4,0,2,0,0,0,0,2,58,,,,,,,,
design,trait,4,0,1,0,0,0,1,0,13,,,,,,,,
design,anthropological,4,0,1,0,0,0,0,0,8,,,,,,,,
design,meets,4,0,0,2,0,1,0,0,24,,,,,,,,
design,graduates,4,0,0,1,1,0,0,1,17,,,,,,,,
design,meetings,4,0,0,1,0,0,3,0,85,,,,,,,,
design,competencies,4,0,0,0,1,0,0,0,27,,,,,,,,
design,awards,4,0,0,0,0,0,0,1,12,,,,,,,,
design,award,4,0,0,0,0,0,0,1,12,,,,,,,,
design,indian,4,0,0,0,0,0,0,1,37,,,,,,,,
design,council�s,4,0,0,0,0,0,0,0,7,,,,,,,,
design,research�s,4,0,0,0,0,0,0,0,5,,,,,,,,
design,dnathe,4,0,0,0,0,0,0,0,6,,,,,,,,
design,study,3,36,18,17,22,21,21,21,1525,,,,,,,,
design,paper,3,24,9,10,12,13,21,15,905,,,,,,,,
design,public,3,16,7,5,6,6,10,8,471,,,,,,,,
design,national,3,15,1,4,3,4,4,3,202,,,,,,,,
design,provide,3,12,8,10,5,4,7,9,461,,,,,,,,
design,critical,3,11,9,3,6,13,5,11,532,,,,,,,,
design,designing,3,11,8,13,17,19,15,22,579,,,,,,,,
design,better,3,8,7,6,3,2,6,2,365,,,,,,,,
design,programmes,3,8,2,1,0,3,0,1,52,,,,,,,,
design,both,3,7,8,7,12,10,5,13,740,,,,,,,,
design,organizations,3,7,8,2,4,1,4,4,101,,,,,,,,
design,many,3,7,7,9,9,4,4,5,554,,,,,,,,
design,emerged,3,7,1,2,3,2,3,1,105,,,,,,,,
design,testing,3,7,0,7,5,2,4,5,136,,,,,,,,
design,across,3,6,9,4,10,1,5,8,342,,,,,,,,
design,over,3,6,7,3,7,4,16,3,479,,,,,,,,
design,academic,3,6,3,5,4,7,3,5,261,,,,,,,,
design,those,3,6,1,2,6,6,3,5,430,,,,,,,,
design,interactions,3,6,0,1,5,2,4,4,416,,,,,,,,
design,role,3,5,26,11,11,6,12,7,667,,,,,,,,
design,developed,3,5,9,4,4,9,7,6,404,,,,,,,,
design,examples,3,5,6,3,1,5,1,5,181,,,,,,,,
design,several,3,5,6,2,4,5,3,2,259,,,,,,,,
design,practical,3,5,4,3,2,2,5,2,169,,,,,,,,
design,artful,3,5,2,0,1,2,2,3,65,,,,,,,,
design,see,3,5,0,2,1,6,1,3,292,,,,,,,,
design,services,3,4,7,7,5,4,4,9,422,,,,,,,,
design,action,3,4,5,2,5,14,5,5,357,,,,,,,,
design,vol,3,4,4,1,4,2,4,1,85,,,,,,,,
design,performance,3,4,1,4,3,2,5,5,205,,,,,,,,
design,game,3,4,1,3,3,4,3,2,493,,,,,,,,
design,human,3,3,13,22,7,10,13,12,773,,,,,,,,
design,way,3,3,12,6,4,9,6,10,655,,,,,,,,
design,working,3,3,9,1,3,12,3,8,479,,,,,,,,
design,lead,3,3,5,1,4,3,4,0,168,,,,,,,,
design,environment,3,3,3,7,5,7,7,6,391,,,,,,,,
design,made,3,3,3,6,8,7,3,5,389,,,,,,,,
design,refers,3,3,2,2,0,0,0,2,80,,,,,,,,
design,inclusive,3,3,1,7,7,7,3,2,182,,,,,,,,
design,uses,3,3,1,0,2,0,1,1,107,,,,,,,,
design,staff,3,3,1,0,1,0,0,2,164,,,,,,,,
design,princeton,3,3,0,2,1,0,1,0,17,,,,,,,,
design,symposium,3,3,0,0,0,0,1,0,33,,,,,,,,
design,behaviour,3,2,5,4,1,0,1,2,205,,,,,,,,
design,fashion,3,2,5,3,2,6,3,2,188,,,,,,,,
design,brunel,3,2,4,5,0,1,0,1,47,,,,,,,,
design,-2,3,2,4,1,4,2,2,0,103,,,,,,,,
design,potential,3,2,3,5,6,8,5,7,443,,,,,,,,
design,problem-solving,3,2,3,4,2,1,2,0,94,,,,,,,,
design,academics,3,2,2,3,3,1,2,1,75,,,,,,,,
design,41,3,2,2,1,0,1,0,0,49,,,,,,,,
design,universal,3,2,1,3,2,1,1,2,53,,,,,,,,
design,taking,3,2,1,3,0,1,0,1,161,,,,,,,,
design,behavior,3,2,1,2,6,2,3,4,148,,,,,,,,
design,organisations,3,2,1,2,3,2,2,4,107,,,,,,,,
design,sessions,3,2,1,1,2,3,2,2,197,,,,,,,,
design,direction,3,2,1,1,1,3,4,1,86,,,,,,,,
